Date,Stage,Match,Team,Players,Pick,Role Pick,Ban,Role Ban,Spell,Emblem,Talent 1,Talent 2,Talent 3,Time,K,D,A,Gold,Level,Win,Tower,Lord ,Turtle,"Buff 
Merah","Buff
 Biru"
3/9/2024,Regular Season,1,"Bigetron Alpha",Kyy,Grock,Tank/Fighter,Ruby,Fighter/Tank,Flicker,Tank,Agility,Wilderness Blessing.,Brave Smite,17:45,1,1,9,8.6,15,Win,8,1,2,10,8
3/9/2024,Regular Season,1,"Bigetron Alpha",EMANN,Brody,Marksman,Faramis,Support/Mage,Flicker,Assassin,Rupture,Master Assassin,Quantum Charge,17:45,7,4,4,13.5,15,Win,8,1,2,10,8
3/9/2024,Regular Season,1,Geek Fam ID,Luke,Yu Zhong,Fighter,Joy,Assassin,Petrify,Fighter,Thrill,Festival of Blood,Quantum Charge,17:45,2,5,4,8.8,14,Lose,6,1,1,8,7
3/9/2024,Regular Season,1,Geek Fam ID,Reyy,Barats,Tank/Fighter,Nolan,Assassin,Retribution,Tank,Swift,Seasoned Hunter,Concussive Blast,17:45,1,3,1,10.5,15,Lose,6,1,1,8,7
3/9/2024,Regular Season,1,Geek Fam ID,Aboy,Valentina,Mage,Mathilda,Support/Assassin,Purify,Mage,Agility,Wilderness Blessing.,Impure Rage,17:45,3,2,2,11,15,Lose,6,1,1,8,7
3/9/2024,Regular Season,1,Geek Fam ID,Baloyskie,Arlott,Fighter/Assassin,Minotaur,Tank/Support,Flicker,Fighter,Thrill,Tenacity,Quantum Charge,17:45,1,5,4,8.7,14,Lose,6,1,1,8,7
3/9/2024,Regular Season,1,Geek Fam ID,Markyyyyy,Bruno,Marksman,Diggie,Support,Purify,Assassin,Thrill,Master Assassin,Quantum Charge,17:45,3,4,2,10.2,15,Lose,6,1,1,8,7
3/9/2024,Regular Season,2,Geek Fam ID,Luke,Cici,Fighter,Mathilda,Support/Assassin,Vengeance,Fighter,Thrill,Festival of Blood,Brave Smite,16:10,1,2,3,9.4,14,Lose,1,1,1,5,7
3/9/2024,Regular Season,2,Geek Fam ID,Reyy,Fredrinn,Fighter/Tank,Joy,Assassin,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,16:10,1,3,5,7.9,15,Lose,1,1,1,5,7
3/9/2024,Regular Season,2,Geek Fam ID,Aboy,Faramis,Support/Mage,Ruby,Fighter/Tank,Purify,Mage,Inspire,Wilderness Blessing.,Lethal Ignition,16:10,3,4,3,9.1,14,Lose,1,1,1,5,7
3/9/2024,Regular Season,2,Geek Fam ID,Baloyskie,Diggie,Support,Paquito,Fighter/Assassin,Flicker,Mage,Agility,Tenacity,Impure Rage,16:10,0,5,6,7.6,14,Lose,1,1,1,5,7
3/9/2024,Regular Season,2,Geek Fam ID,Markyyyyy,Ixia,Marksman,Fanny,Assassin,Flicker,Assassin,Thrill,Tenacity,Quantum Charge,16:10,2,1,3,10.2,15,Lose,1,1,1,5,7
3/9/2024,Regular Season,2,"Bigetron Alpha",Xorizo,Barats,Tank/Fighter,Grock,Tank/Fighter,Flicker,Common,Agility,Tenacity,Brave Smite,16:10,1,0,4,9.3,15,Win,8,1,2,11,11
3/9/2024,Regular Season,2,"Bigetron Alpha",Kenn,Fanny,Assassin,Natalia,Assassin,Retribution,Assassin,Thrill,Festival of Blood,Lethal Ignition,16:10,7,1,4,11.9,15,Win,8,1,2,11,11
3/9/2024,Regular Season,2,"Bigetron Alpha",Morenoo,Vexana,Mage,Nolan,Assassin,Flicker,Mage,Thrill,Wilderness Blessing.,Impure Rage,16:10,1,1,7,9.2,15,Win,8,1,2,11,11
3/9/2024,Regular Season,2,"Bigetron Alpha",Kyy,Arlott,Fighter/Assassin,Guinevere,Fighter,Flicker,Tank,Firmness,Wilderness Blessing.,Brave Smite,16:10,3,4,4,7.7,14,Win,8,1,2,11,11
3/9/2024,Regular Season,2,"Bigetron Alpha",EMANN,Karrie,Marksman,Ruby,Fighter/Tank,Flicker,Fighter,Firmness,Festival of Blood,Brave Smite,16:10,3,1,3,12.7,15,Win,8,1,2,11,11
3/9/2024,Regular Season,1,Alter Ego,Pai,Terizla,Fighter,X.Borg,Fighter,Flicker,Fighter,Rupture,Festival of Blood,Brave Smite,26:37,5,5,6,16,15,Win,9,4,3,12,11
3/9/2024,Regular Season,1,Alter Ego,Tazz,Guinevere,Fighter,Cici,Fighter,Retribution,Mage,Thrill,Seasoned Hunter,Impure Rage,26:37,1,1,4,13.3,15,Win,9,4,3,12,11
3/9/2024,Regular Season,1,Alter Ego,Cr1te,Novaria,Mage,Arlott,Fighter/Assassin,Flicker,Assassin,Rupture,Wilderness Blessing.,Impure Rage,26:37,2,2,8,14.2,15,Win,9,4,3,12,11
3/9/2024,Regular Season,1,Alter Ego,Rasy,Selena,Assassin/Mage,Ruby,Fighter/Tank,Flicker,Mage,Rupture,Wilderness Blessing.,Lethal Ignition,26:37,3,4,6,12.3,15,Win,9,4,3,12,11
3/9/2024,Regular Season,1,Alter Ego,Nino,Karrie,Marksman,Faramis,Support/Mage,Purify,Fighter,Firmness,Festival of Blood,Brave Smite,26:37,2,0,6,19.1,15,Win,9,4,3,12,11
3/9/2024,Regular Season,1,Rebellion Esports,Karss,Lapu-Lapu,Fighter,Mathilda,Support/Assassin,Flicker,Fighter,Rupture,Festival of Blood,Brave Smite,26:37,0,5,3,10.9,15,Lose,5,0,0,11,14
3/9/2024,Regular Season,1,Rebellion Esports,Vincentt,Hanzo,Assassin,Nolan,Assassin,Retribution,Assassin,Thrill,Wilderness Blessing.,Lethal Ignition,26:37,6,0,4,17,15,Lose,5,0,0,11,14
3/9/2024,Regular Season,1,Rebellion Esports,SwayLow,Vexana,Mage,Joy,Assassin,Purify,Mage,Inspire,Wilderness Blessing.,Impure Rage,26:37,2,4,8,12.8,15,Lose,5,0,0,11,14
3/9/2024,Regular Season,1,Rebellion Esports,AudyTzy,Tigreal,Tank,Grock,Tank/Fighter,Flicker,Tank,Firmness,Tenacity,Brave Smite,26:37,1,2,9,11.1,15,Lose,5,0,0,11,14
3/9/2024,Regular Season,1,Rebellion Esports,Moai,Claude,Marksman,Fanny,Assassin,Purify,Common,Agility,Tenacity,Quantum Charge,26:37,3,2,5,19,15,Lose,5,0,0,11,14
3/9/2024,Regular Season,2,Rebellion Esports,Karss,Paquito,Fighter/Assassin,Faramis,Support/Mage,Sprint,Fighter,Agility,Festival of Blood,Quantum Charge,16:26,5,1,3,10.4,15,Win,7,1,2,7,7
3/9/2024,Regular Season,2,Rebellion Esports,Vincentt,Guinevere,sw,Novaria,Mage,Retribution,Mage,Thrill,Seasoned Hunter,Impure Rage,16:26,0,3,8,9,15,Win,7,1,2,7,7
3/9/2024,Regular Season,2,Rebellion Esports,SwayLow,Novaria,Mage,Ruby,Fighter/Tank,Flicker,Assassin,Rupture,Wilderness Blessing.,Impure Rage,16:26,2,1,8,9.9,14,Win,7,1,2,7,7
3/9/2024,Regular Season,2,Rebellion Esports,AudyTzy,Minotaur,Tank/Support,Kaja,Support/Fighter,Flicker,Tank,Firmness,Tenacity,Concussive Blast,16:26,1,1,8,9.1,15,Win,7,1,2,7,7
3/9/2024,Regular Season,2,Rebellion Esports,Moai,Bruno,Marksman,Fanny,Assassin,Purify,Assassin,Fatal,Tenacity,Quantum Charge,16:26,3,0,5,11.8,15,Win,7,1,2,7,7
3/9/2024,Regular Season,2,Alter Ego,Pai,Terizla,Fighter,Arlott,Fighter/Assassin,Flicker,Fighter,Rupture,Festival of Blood,Brave Smite,16:26,1,2,3,8.2,14,Lose,6,1,1,7,6
3/9/2024,Regular Season,2,Alter Ego,Tazz,Martis,Fighter,X.Borg,Fighter,Retribution,Assassin,Thrill,Seasoned Hunter,Impure Rage,16:26,3,1,1,9.5,15,Lose,6,1,1,7,6
3/9/2024,Regular Season,2,Alter Ego,Cr1te,Vexana,Mage,Cici,Fighter,Purify,Mage,Rupture,Wilderness Blessing.,Impure Rage,16:26,0,1,3,7.6,13,Lose,6,1,1,7,6
3/9/2024,Regular Season,2,Alter Ego,Rasy,Grock,Tank/Fighter,Joy,Assassin,Flicker,Tank,Vitality,Wilderness Blessing.,Brave Smite,16:26,0,4,5,6.6,13,Lose,6,1,1,7,6
3/9/2024,Regular Season,2,Alter Ego,Nino,Karina,Assassin,Mathilda,Support/Assassin,Purify,Fighter,Firmness,Festival of Blood,Brave Smite,16:26,2,3,0,10.6,15,Lose,6,1,1,7,6
3/9/2024,Regular Season,3,Alter Ego,Pai,Gloo,Tank,Baxia,Tank,Flicker,Common,Agility,Tenacity,Brave Smite,26:14,1,1,7,11.9,15,Win,9,2,1,12,19
3/9/2024,Regular Season,3,Alter Ego,Tazz,Fanny,Assassin,Hanabi,Marksman,Retribution,Assassin,Thrill,Master Assassin,Lethal Ignition,26:14,3,0,4,18.3,15,Win,9,2,1,12,19
3/9/2024,Regular Season,3,Alter Ego,Cr1te,Vexana,Mage,Guinevere,Fighter,Flicker,Mage,Rupture,Wilderness Blessing.,Impure Rage,26:14,1,2,8,11.2,15,Win,9,2,1,12,19
3/9/2024,Regular Season,3,Alter Ego,Rasy,Arlott,Fighter/Assassin,Novaria,Mage,Flicker,Tank,Rupture,Tenacity,Brave Smite,26:14,3,3,4,11.2,15,Win,9,2,1,12,19
3/9/2024,Regular Season,3,Alter Ego,Nino,Bruno,Marksman,Faramis,Support/Mage,Purify,Assassin,Fatal,Tenacity,Quantum Charge,26:14,2,1,1,17.9,15,Win,9,2,1,12,19
3/9/2024,Regular Season,3,Rebellion Esports,Karss,Cici,Fighter,Nolan,Assassin,Vengeance,Fighter,Agility,Festival of Blood,Brave Smite,26:14,3,2,3,16.2,15,Lose,5,2,1,7,8
3/9/2024,Regular Season,3,Rebellion Esports,Vincentt,Martis,Fighter,Mathilda,Support/Assassin,Retribution,Assassin,Thrill,Seasoned Hunter,Brave Smite,26:14,4,3,1,13.9,15,Lose,5,2,1,7,8
3/9/2024,Regular Season,3,Rebellion Esports,SwayLow,Angela,Support,Joy,Assassin,Flicker,Support,Thrill,Wilderness Blessing.,Focusing Mark,26:14,0,1,7,11.1,15,Lose,5,2,1,7,8
3/9/2024,Regular Season,3,Rebellion Esports,AudyTzy,Ruby,Fighter/Tank,X.Borg,Fighter,Flicker,Tank,Firmness,Tenacity,Brave Smite,26:14,0,3,6,11.2,15,Lose,5,2,1,7,8
3/9/2024,Regular Season,3,Rebellion Esports,Moai,Karrie,Marksman,Tigreal,Tank,Purify,Fighter,Firmness,Tenacity,Brave Smite,26:14,0,1,3,20.3,15,Lose,5,2,1,7,8
3/9/2024,Regular Season,1,AURA Fire,Aran,Paquito,Fighter/Assassin,Ruby,Fighter/Tank,Flicker,Fighter,Rupture,Festival of Blood,Quantum Charge,17:24,3,4,1,8.6,14,Lose,3,1,2,8,7
3/9/2024,Regular Season,1,AURA Fire,Gugun,Barats,Tank/Fighter,Karrie,Marksman,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,17:24,1,3,4,9.1,15,Lose,3,1,2,8,7
3/9/2024,Regular Season,1,AURA Fire,Yehezkiel,Vexana,Mage,Mathilda,Support/Assassin,Flicker,Mage,Agility,Tenacity,Impure Rage,17:24,0,1,7,8.3,14,Lose,3,1,2,8,7
3/9/2024,Regular Season,1,AURA Fire,Yawi,Guinevere,Fighter,Grock,Tank/Fighter,Flicker,Tank,Firmness,Wilderness Blessing.,Brave Smite,17:24,1,2,3,6.9,14,Lose,3,1,2,8,7
3/9/2024,Regular Season,1,AURA Fire,Kabuki,Bruno,Marksman,Minotaur,Tank/Support,Purify,Assassin,Fatal,Master Assassin,Quantum Charge,17:24,2,4,0,11.2,15,Lose,3,1,2,8,7
3/9/2024,Regular Season,1,"Dewa United Esports",Kimura,Arlott,Fighter/Assassin,Cici,Fighter,Flicker,Common,Rupture,Tenacity,Brave Smite,17:24,6,0,6,9.2,15,Win,9,1,1,8,9
3/9/2024,Regular Season,1,"Dewa United Esports",Garry,Baxia,Tank,X.Borg,Fighter,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,17:24,2,2,7,10.8,15,Win,9,1,1,8,9
3/9/2024,Regular Season,1,"Dewa United Esports",Keyz,Lylia,Mage,Novaria,Mage,Purify,Mage,Agility,Wilderness Blessing.,Lethal Ignition,17:24,2,3,6,10,15,Win,9,1,1,8,9
3/9/2024,Regular Season,1,"Dewa United Esports",Drian,Kadita,Mage/Assassin,Nolan,Assassin,Sprint,Mage,Rupture,Pull Yourself Together,Lethal Ignition,17:24,1,2,6,8.6,15,Win,9,1,1,8,9
3/9/2024,Regular Season,1,"Dewa United Esports",Watt,Claude,Marksman,Joy,Assassin,Purify,Common,Swift,Tenacity,Quantum Charge,17:24,3,0,4,14,15,Win,9,1,1,8,9
3/9/2024,Regular Season,2,AURA Fire,Aran,Terizla,Fighter,Karrie,Marksman,Flicker,Fighter,Rupture,Festival of Blood,Brave Smite,21:55,1,3,7,11.4,15,Lose,4,1,2,9,9
3/9/2024,Regular Season,2,AURA Fire,Gugun,Martis,Fighter,Arlott,Fighter/Assassin,Retribution,Assassin,Thrill,Seasoned Hunter,Impure Rage,21:55,7,3,0,11.9,15,Lose,4,1,2,9,9
3/9/2024,Regular Season,2,AURA Fire,Yehezkiel,Vexana,Mage,Mathilda,Support/Assassin,Flicker,Mage,Inspire,Wilderness Blessing.,Impure Rage,21:55,0,3,7,12.8,15,Lose,4,1,2,9,9
3/9/2024,Regular Season,2,AURA Fire,Yawi,Ruby,Fighter/Tank,Minotaur,Tank/Support,Flicker,Tank,Firmness,Wilderness Blessing.,Brave Smite,21:55,0,4,8,8.9,15,Lose,4,1,2,9,9
3/9/2024,Regular Season,2,AURA Fire,Kabuki,Claude,Marksman,Fanny,Assassin,Purify,Common,Agility,Tenacity,Quantum Charge,21:55,5,2,7,17.1,15,Lose,4,1,2,9,9
3/9/2024,Regular Season,2,"Dewa United Esports",Kimura,Benedetta,Assassin/Fighter,Baxia,Tank,Sprint,Assassin,Rupture,Festival of Blood,Quantum Charge,21:55,5,3,5,13.4,15,Win,8,2,1,9,10
3/9/2024,Regular Season,2,"Dewa United Esports",Garry,Fredrinn,Fighter/Tank,Barats,Tank/Fighter,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,21:55,0,4,5,10.4,15,Win,8,2,1,9,10
3/9/2024,Regular Season,2,"Dewa United Esports",Keyz,Valentina,Mage,Novaria,Mage,Flicker,Mage,Inspire,Wilderness Blessing.,Quantum Charge,21:55,4,2,5,11.7,15,Win,8,2,1,9,10
3/9/2024,Regular Season,2,"Dewa United Esports",Drian,Grock,Tank/Fighter,Nolan,Assassin,Flicker,Tank,Agility,Wilderness Blessing.,Concussive Blast,21:55,0,3,8,9.5,15,Win,8,2,1,9,10
3/9/2024,Regular Season,2,"Dewa United Esports",Watt,Natan,Marksman,Joy,Assassin,Purify,Mage,Thrill,Bargain Hunter,Weakness Finder,21:55,6,1,5,17.5,15,Win,8,2,1,9,10
3/10/2024,Regular Season,1,Geek Fam ID,Luke,Ruby,Fighter/Tank,X.Borg,Fighter,Flicker,Fighter,Firmness,Festival of Blood,Brave Smite,18:37,3,5,7,10.4,15,Lose,3,1,2,10,7
3/10/2024,Regular Season,1,Geek Fam ID,Hazle,Martis,Fighter,Lylia,Mage,Retribution,Assassin,Rupture,Seasoned Hunter,Impure Rage,18:37,4,4,5,9.7,15,Lose,3,1,2,10,7
3/10/2024,Regular Season,1,Geek Fam ID,Aboy,Faramis,Support/Mage,Cici,Fighter,Purify,Mage,Inspire,Wilderness Blessing.,Lethal Ignition,18:37,3,6,7,10.6,15,Lose,3,1,2,10,7
3/10/2024,Regular Season,1,Geek Fam ID,Baloyskie,Grock,Tank/Fighter,Novaria,Mage,Flicker,Common,Agility,Wilderness Blessing.,Brave Smite,18:37,1,1,8,8.7,15,Lose,3,1,2,10,7
3/10/2024,Regular Season,1,Geek Fam ID,Caderaa,Karrie,Marksman,Joy,Assassin,Purify,Fighter,Swift,Festival of Blood,Brave Smite,18:37,2,0,6,13.3,15,Lose,3,1,2,10,7
3/10/2024,Regular Season,1,"ONIC",Butsss,Lapu-Lapu,Fighter,Guinevere,Fighter,Flicker,Fighter,Rupture,Festival of Blood,Brave Smite,18:37,2,4,10,11.1,15,Win,9,2,1,7,10
3/10/2024,Regular Season,1,"ONIC",Kairi,Fredrinn,Fighter/Tank,Mathilda,Support/Assassin,Retribution,Tank,Inspire,Seasoned Hunter,Concussive Blast,18:37,3,1,11,11.6,15,Win,9,2,1,7,10
3/10/2024,Regular Season,1,"ONIC",Sanz,Gord,Mage,Nolan,Assassin,Flicker,Mage,Inspire,Wilderness Blessing.,Impure Rage,18:37,7,2,4,11.5,15,Win,9,2,1,7,10
3/10/2024,Regular Season,1,"ONIC",Kiboy,Martis,Fighter,Baxia,Tank,Flicker,Common,Thrill,Wilderness Blessing.,Quantum Charge,18:37,2,3,7,8.8,15,Win,9,2,1,7,10
3/10/2024,Regular Season,1,"ONIC",CW,Claude,Marksman,Barats,Tank/Fighter,Purify,Common,Agility,Tenacity,Quantum Charge,18:37,2,3,8,14.1,15,Win,9,2,1,7,10
3/10/2024,Regular Season,2,Geek Fam ID,Luke,Ruby,Fighter/Tank,X.Borg,Fighter,Flicker,Fighter,Firmness,Festival of Blood,Brave Smite,18:43,0,4,2,9,15,Lose,3,0,0,5,5
3/10/2024,Regular Season,2,Geek Fam ID,Hazle,Barats,Tank/Fighter,Tigreal,Tank,Retribution,Tank,Swift,Seasoned Hunter,Concussive Blast,18:43,1,4,0,8.7,15,Lose,3,0,0,5,5
3/10/2024,Regular Season,2,Geek Fam ID,Aboy,Nana,Mage,Mathilda,Support/Assassin,Flicker,Mage,Inspire,Wilderness Blessing.,Lethal Ignition,18:43,1,2,0,8.9,15,Lose,3,0,0,5,5
3/10/2024,Regular Season,2,Geek Fam ID,Baloyskie,Arlott,Fighter/Assassin,Novaria,Mage,Flicker,Fighter,Thrill,Festival of Blood,Quantum Charge,18:43,0,8,1,6.9,14,Lose,3,0,0,5,5
